행정구역,총계,총계 남,총계 여,중구 계,중구 남,중구 여,동구 계,동구 남,동구 여,서구 계,서구 남,서구 여,남구 계,남구 남,남구 여,북구 계,북구 남,북구 여,수성구 계,수성구 남,수성구 여,달서구 계,달서구 남,달서구 여,달성군 계,달성군 남,달성군 여
0세,"13,085","6,754","6,331",456,228,228,"2,019","1,021",998,559,304,255,532,289,243,"2,523","1,302","1,221","1,565",839,726,"2,771","1,413","1,358","2,660","1,358","1,302"
1세,"15,384","7,854","7,530",524,273,251,"2,401","1,235","1,166",688,338,350,598,293,305,"2,954","1,520","1,434","1,964",986,978,"3,370","1,780","1,590","2,885","1,429","1,456"
2세,"17,580","9,026","8,554",588,293,295,"2,718","1,429","1,289",852,432,420,675,344,331,"3,386","1,704","1,682","2,387","1,217","1,170","3,836","2,028","1,808","3,138","1,579","1,559"
3세,"19,659","10,028","9,631",625,325,300,"2,947","1,442","1,505",947,503,444,742,374,368,"3,717","1,869","1,848","2,839","1,501","1,338","4,480","2,313","2,167","3,362","1,701","1,661"
4세,"20,230","10,294","9,936",628,297,331,"3,103","1,620","1,483",885,448,437,722,369,353,"3,853","1,995","1,858","3,069","1,536","1,533","4,710","2,388","2,322","3,260","1,641","1,619"
5세,"19,869","10,102","9,767",542,279,263,"2,936","1,506","1,430",938,482,456,771,390,381,"3,783","1,915","1,868","3,269","1,690","1,579","4,597","2,326","2,271","3,033","1,514","1,519"
6세,"21,284","10,954","10,330",588,306,282,"2,992","1,547","1,445",998,483,515,842,433,409,"3,984","2,035","1,949","3,779","1,946","1,833","4,927","2,522","2,405","3,174","1,682","1,492"
7세,"21,931","11,164","10,767",553,290,263,"3,067","1,577","1,490",991,505,486,809,428,381,"4,067","2,088","1,979","4,096","2,092","2,004","5,213","2,600","2,613","3,135","1,584","1,551"
8세,"22,163","11,457","10,706",583,302,281,"2,991","1,562","1,429","1,033",512,521,818,436,382,"4,105","2,146","1,959","4,302","2,209","2,093","5,313","2,749","2,564","3,018","1,541","1,477"
9세,"20,331","10,565","9,766",485,262,223,"2,763","1,462","1,301",874,436,438,712,358,354,"3,744","1,937","1,807","4,106","2,128","1,978","5,019","2,607","2,412","2,628","1,375","1,253"
